model,compartment,analyte,d7720_moderate_limit_q90,d7720_action_limit_q95,d7720_critical_limit_q99
988F_CAT,DIFF_FR,fe_ppm,65.0,65.0,65.0
988F_CAT,DIFF_FR,cu_ppm,0.0,0.0,0.0
988F_CAT,DIFF_FR,cr_ppm,0.0,0.0,0.0
988F_CAT,DIFF_FR,pb_ppm,0.0,0.0,0.0
988F_CAT,DIFF_FR,al_ppm,0.0,0.0,0.0
988F_CAT,DIFF_FR,si_ppm,0.0,0.0,0.0
988F_CAT,DIFF_FR,na_ppm,0.0,0.0,0.0
988F_CAT,DIFF_FR,k_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_LT,fe_ppm,65.0,65.0,65.0
988F_CAT,FD_FR_LT,cu_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_LT,cr_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_LT,pb_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_LT,al_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_LT,si_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_LT,na_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_LT,k_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_RT,fe_ppm,65.0,65.0,65.0
988F_CAT,FD_FR_RT,cu_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_RT,cr_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_RT,pb_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_RT,al_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_RT,si_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_RT,na_ppm,0.0,0.0,0.0
988F_CAT,FD_FR_RT,k_ppm,0.0,0.0,0.0
988G_CAT,DIFF_RR,fe_ppm,65.0,65.0,65.0
988G_CAT,DIFF_RR,cu_ppm,0.0,0.0,0.0
988G_CAT,DIFF_RR,cr_ppm,0.0,0.0,0.0
988G_CAT,DIFF_RR,pb_ppm,0.0,0.0,0.0
988G_CAT,DIFF_RR,al_ppm,15.0,15.0,15.0
988G_CAT,DIFF_RR,si_ppm,25.0,25.0,25.0
988G_CAT,DIFF_RR,na_ppm,0.0,0.0,0.0
988G_CAT,DIFF_RR,k_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_LT,fe_ppm,65.0,65.0,65.0
988G_CAT,WH_FR_LT,cu_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_LT,cr_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_LT,pb_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_LT,al_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_LT,si_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_LT,na_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_LT,k_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_RT,fe_ppm,65.0,65.0,65.0
988G_CAT,WH_FR_RT,cu_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_RT,cr_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_RT,pb_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_RT,al_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_RT,si_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_RT,na_ppm,0.0,0.0,0.0
988G_CAT,WH_FR_RT,k_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_LT,fe_ppm,65.0,65.0,65.0
988G_CAT,WH_RR_LT,cu_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_LT,cr_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_LT,pb_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_LT,al_ppm,15.0,15.0,15.0
988G_CAT,WH_RR_LT,si_ppm,25.0,25.0,25.0
988G_CAT,WH_RR_LT,na_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_LT,k_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_RT,fe_ppm,65.0,65.0,65.0
988G_CAT,WH_RR_RT,cu_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_RT,cr_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_RT,pb_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_RT,al_ppm,15.0,15.0,15.0
988G_CAT,WH_RR_RT,si_ppm,25.0,25.0,25.0
988G_CAT,WH_RR_RT,na_ppm,0.0,0.0,0.0
988G_CAT,WH_RR_RT,k_ppm,0.0,0.0,0.0
