feature,importance
pq_index__peer_z,0.1827900932941569
fe_ppm__peer_z,0.13161981669909315
cu_ppm__delta,0.11319835247151504
nitration__pct_change,0.08225998721237963
soot_pct__vs_own_med,0.07780670713639763
k_ppm__delta,0.06923370416455898
si_ppm__peer_z,0.06567651716377816
na_ppm__pct_change,0.05466452929714403
visc40,0.05395992547534001
cr_ppm__pct_change,0.05248316961182353
glycol_pct,0.045447163271072344
cu_ppm__pct_change,0.044626987628835546
fuel_pct__peer_z,0.0429314873014182
si_ppm__vs_own_med,0.041462228488817844
pq_index__vs_own_med,0.03756562650194255
cu_ppm,0.036880681827453965
water_pct__peer_z,0.03487388415366437
pq_index,0.03416720495127974
cu_ppm__slope3,0.0330335772491307
fe_ppm__slope3,0.032609925484607324
si_ppm,0.030648722426284268
al_ppm__per100h,0.03013645067993176
na_ppm__per100h,0.029612859337402098
lab_severity_num,0.02855759012435133
pb_ppm__per100h,0.025599840219406887
tbn__pct_change,0.02503351129337026
fe_ppm__delta,0.024383299989863882
si_to_fe,0.021950102495643754
nitration__per100h,0.02168977488730577
cu_ppm__vs_own_med,0.020715263138207107
fuel_pct__pct_change,0.01999876699557679
al_ppm__peer_z,0.019643597418494863
pb_ppm__peer_z,0.018512645106368207
water_pct,0.018288723194748235
al_ppm,0.018082218020589135
pb_ppm__vs_own_med,0.017044008456435965
al_ppm__pct_change,0.015544119844900072
k_ppm__vs_own_med,0.015241275592716241
al_ppm__vs_own_med,0.015045093189830517
al_ppm__delta,0.014645881669956794
oxidation__per100h,0.014460349929825566
fuel_pct,0.013986558297610464
pq_index__delta,0.012733677614587945
na_ppm,0.01270194281071746
fuel_pct__vs_own_med,0.012301186321055568
na_ppm__peer_z,0.011159411317901347
visc40__per100h,0.010177521272091728
water_pct__pct_change,0.010143122963061458
visc40__delta,0.010088933312300518
k_ppm__peer_z,0.009912838745313856
soot_pct__delta,0.00945935379450924
tbn__slope3,0.009184143985763815
si_ppm__pct_change,0.008932177657742102
na_ppm__delta,0.007763366216281753
days_since_last_cm,0.0077430377459632325
fe_ppm,0.007253491379593813
visc40__pct_change,0.00632488704813865
nitration,0.006278505868988859
nitration__delta,0.0061806945402392175
al_ppm__slope3,0.005673979844416555
glycol_pct__pct_change,0.005619380086322146
soot_pct__pct_change,0.005422310324832602
water_pct__per100h,0.005096409608551467
hours_since_prev_sample,0.005043748363202471
k_ppm__pct_change,0.004831201965685849
si_ppm__slope3,0.0037718927070688356
na_ppm__vs_own_med,0.0035137387048991275
soot_pct,0.0034462617325084154
fe_per_oil_hour,0.003377812640612188
glycol_pct__slope3,0.003173780961530781
cu_ppm__per100h,0.0029934093832526543
na_ppm__slope3,0.0029310401400652218
nitration__slope3,0.0024041039843673896
nitration__peer_z,0.002230010696522311
water_pct__delta,0.0021016833368906695
glycol_pct__vs_own_med,0.0017807568297225184
glycol_pct__per100h,0.0013125044334816982
cu_ppm__peer_z,0.0010170649712501144
pb_ppm__slope3,0.0010055139932199308
cr_ppm,0.0009415941912340964
soot_pct__per100h,0.0007081611158332723
fuel_pct__per100h,0.0006651509628608609
oxidation,0.0005741918466692919
k_ppm,0.0005331348870722286
oxidation__delta,0.00014634718344799235
cr_ppm__slope3,1.315941317612257e-05
fuel_pct__slope3,-7.794778684133697e-06
visc40__vs_own_med,-1.9226967526009277e-05
glycol_pct__delta,-8.018782629002353e-05
pb_ppm__delta,-0.00014722160487863346
visc40__slope3,-0.0001905362767355534
oxidation__pct_change,-0.0003062203579183187
water_pct__slope3,-0.0003570868330976085
sample_seq,-0.0008626275417844776
si_ppm__delta,-0.0009927076867632723
cr_ppm__per100h,-0.0012560046630138988
days_since_prev_sample,-0.0013496676389476824
pb_ppm__pct_change,-0.0013612192880074758
fuel_pct__delta,-0.001379877221274617
fe_ppm__pct_change,-0.0016801774868481444
water_pct__vs_own_med,-0.0017610601126145432
cr_ppm__peer_z,-0.0021337470695684813
cr_ppm__delta,-0.002143940431771374
oxidation__vs_own_med,-0.0022322357068401467
oxidation__peer_z,-0.0022739408453263054
pq_index__pct_change,-0.002463967733901207
tbn__per100h,-0.0025558833684293123
tbn__delta,-0.002615661183519813
cu_to_fe,-0.002620504545918401
tbn__peer_z,-0.002620542241522883
pq_index__slope3,-0.002671548537214985
soot_pct__slope3,-0.002741383061704017
k_ppm__slope3,-0.0036676220248970993
k_ppm__per100h,-0.004029793934612958
visc40__peer_z,-0.00408687001357948
cr_ppm__vs_own_med,-0.004254106660025081
prior_cm_365d,-0.00471139749339442
pb_ppm,-0.004886826958728973
tbn__vs_own_med,-0.006197242005801029
smu_hours,-0.006665043161018569
oxidation__slope3,-0.007018741274185669
oil_hours,-0.007648856409643879
nitration__vs_own_med,-0.008105993629307928
fe_ppm__per100h,-0.008729781305845851
soot_pct__peer_z,-0.008784176599715953
tbn,-0.015120400957460168
pq_index__per100h,-0.017237278918743403
si_ppm__per100h,-0.01748561169711782
fe_ppm__vs_own_med,-0.028602597625414193
