model,component,fe_ppm__peer_med,cu_ppm__peer_med,cr_ppm__peer_med,pb_ppm__peer_med,al_ppm__peer_med,si_ppm__peer_med,na_ppm__peer_med,k_ppm__peer_med,water_pct__peer_med,fuel_pct__peer_med,glycol_pct__peer_med,soot_pct__peer_med,visc40__peer_med,oxidation__peer_med,nitration__peer_med,tbn__peer_med,pq_index__peer_med,fe_ppm__peer_iqr,cu_ppm__peer_iqr,cr_ppm__peer_iqr,pb_ppm__peer_iqr,al_ppm__peer_iqr,si_ppm__peer_iqr,na_ppm__peer_iqr,k_ppm__peer_iqr,water_pct__peer_iqr,fuel_pct__peer_iqr,glycol_pct__peer_iqr,soot_pct__peer_iqr,visc40__peer_iqr,oxidation__peer_iqr,nitration__peer_iqr,tbn__peer_iqr,pq_index__peer_iqr
336,ENGINE,15.9,6.1,1.78,3.6,4.4,7.1,3.4,2.6,0.02,0.63,0.0,0.4,107.8,11.5,7.8,8.75,6.9,10.100000000000001,3.799999999999999,1.06,2.2,2.6999999999999997,4.5,2.0999999999999996,1.7,0.008,0.265,0.0,0.28,3.5999999999999943,4.699999999999999,3.1999999999999993,2.379999999999999,4.249999999999999
336,FINAL_DRIVE,80.55,8.6,4.67,7.3,5.5,8.6,2.8,1.9,0.05,0.0,0.0,0.05,100.15,6.9,3.9,4.77,28.450000000000003,45.44999999999999,4.550000000000001,2.52,4.324999999999999,3.3249999999999997,4.824999999999999,1.525,0.9999999999999998,0.021249999999999998,0.0,0.0,0.04000000000000001,3.5999999999999943,2.999999999999999,1.4999999999999996,1.2850000000000001,18.749999999999996
336,HYDRAULIC,11.0,3.8,0.97,1.9,2.8,6.0,2.7,1.9,0.03,0.0,0.0,0.05,46.1,7.9,4.0,3.84,5.6,6.6,2.05,0.5549999999999999,0.9999999999999998,1.8000000000000003,3.7500000000000004,1.5,1.0999999999999999,0.013999999999999999,0.0,0.0,0.04000000000000001,1.5499999999999972,3.3,1.6999999999999997,1.1099999999999999,3.4
336,TRANSMISSION,35.75,12.6,2.725,5.4,4.5,6.1,2.6,1.8,0.03,0.0,0.0,0.1,67.8,8.8,4.8,5.72,13.2,22.750000000000007,8.0,1.8949999999999998,3.6,3.0000000000000004,3.9749999999999988,1.7,1.0999999999999999,0.011999999999999997,0.0,0.0,0.07,2.200000000000003,3.9000000000000004,2.0999999999999996,1.5624999999999991,8.700000000000001
775,ENGINE,16.1,6.2,1.82,3.6,4.6,7.2,3.7,2.8,0.02,0.6,0.0,0.41,108.0,12.1,8.0,8.54,7.2,10.400000000000002,4.0,1.0999999999999999,2.2,2.9,4.300000000000001,2.1999999999999997,1.7000000000000002,0.008,0.27,0.0,0.30000000000000004,3.9000000000000057,4.700000000000001,3.3000000000000007,2.3200000000000003,4.5
775,FINAL_DRIVE,78.8,8.2,4.94,7.5,5.4,8.5,2.8,2.0,0.05,0.0,0.0,0.05,99.8,6.8,4.0,4.85,28.1,51.6,4.9,3.0900000000000003,4.6000000000000005,3.4999999999999996,5.500000000000001,1.7000000000000002,1.0999999999999999,0.019999999999999997,0.0,0.0,0.04000000000000001,3.0999999999999943,2.8999999999999995,1.7000000000000002,1.33,18.3
775,HYDRAULIC,10.55,3.7,0.95,1.8,2.8,5.75,2.7,1.7,0.0285,0.0,0.0,0.05,45.95,7.85,3.8499999999999996,3.8049999999999997,5.5,6.275,2.3499999999999996,0.59,1.2,1.6,3.9999999999999996,1.8000000000000003,1.2249999999999999,0.015,0.0,0.0,0.0325,1.5,3.5999999999999996,1.9000000000000004,1.1525000000000003,3.7250000000000005
775,TRANSMISSION,33.650000000000006,12.45,2.58,5.4,4.3,6.1,2.6,1.8,0.029,0.0,0.0,0.1,67.9,8.6,4.9,5.705,12.3,22.250000000000007,7.800000000000001,1.6725,3.5999999999999996,2.975,3.5,1.4999999999999998,1.0999999999999999,0.010999999999999996,0.0,0.0,0.06999999999999999,2.4000000000000057,3.5999999999999996,2.0,1.5750000000000002,7.899999999999999
966,ENGINE,16.3,6.4,1.8,3.6,4.6,7.2,3.6,2.75,0.02,0.59,0.0,0.4,107.8,11.8,7.8,8.63,7.3,10.200000000000001,3.9250000000000007,1.1525,2.125,2.725,4.4,2.2249999999999996,1.6,0.0072499999999999995,0.26999999999999996,0.0,0.27,3.5250000000000057,4.700000000000001,3.200000000000001,2.2824999999999998,4.699999999999999
966,FINAL_DRIVE,80.30000000000001,8.55,4.64,7.6,5.7,8.75,2.8,1.9,0.0525,0.0,0.0,0.05,100.4,6.95,4.1,4.71,29.049999999999997,57.825,5.275,2.6325,5.074999999999999,3.575,5.2749999999999995,1.6,1.0999999999999999,0.02475,0.0,0.0,0.04000000000000001,3.4749999999999943,3.375,1.9000000000000004,1.33,18.050000000000004
966,HYDRAULIC,10.8,3.8,0.96,1.9,2.8,5.8,2.7,2.1,0.031,0.0,0.0,0.05,46.1,8.1,4.2,3.74,6.0,6.800000000000001,2.3000000000000003,0.57,1.2,1.9000000000000001,3.5999999999999996,1.7000000000000002,1.2,0.011999999999999997,0.0,0.0,0.04000000000000001,1.5,3.9000000000000004,1.7999999999999998,1.2499999999999996,3.5999999999999996
966,TRANSMISSION,35.1,11.9,2.73,5.3,4.4,6.1,2.5,1.8,0.03,0.0,0.0,0.1,68.1,8.8,4.8,5.78,13.4,22.1,7.699999999999999,1.75,3.3000000000000003,3.0,4.2,1.7,1.2,0.010999999999999996,0.0,0.0,0.07,2.299999999999997,3.7,2.0999999999999996,1.5700000000000003,9.400000000000002
