machine_id,machine_type,component,sample_date,smu_hours,oil_hours,lab_severity,risk,risk_level
HT-015,HAUL_TRUCK,HYDRAULIC,2026-06-02,10852.0,34.3,ACTION,0.9997420193603272,CRITICAL
HT-012,HAUL_TRUCK,ENGINE,2026-06-11,18387.6,264.9,ACTION,0.9968427935453911,CRITICAL
EX-012,EXCAVATOR,ENGINE,2026-06-02,16605.2,176.6,MONITOR,0.9787773320803135,CRITICAL
HT-001,HAUL_TRUCK,FINAL_DRIVE,2026-04-07,9454.1,20.5,ACTION,0.9477465098759676,CRITICAL
HT-015,HAUL_TRUCK,TRANSMISSION,2026-05-13,10782.0,52.7,NORMAL,0.7430599875181936,CRITICAL
WL-013,WHEEL_LOADER,HYDRAULIC,2026-04-22,17034.9,15.9,MONITOR,0.5005556238907091,CRITICAL
EX-003,EXCAVATOR,ENGINE,2026-06-04,14604.7,10.0,NORMAL,0.38686784626179727,HIGH
WL-007,WHEEL_LOADER,ENGINE,2026-06-28,18591.9,37.6,MONITOR,0.38254057749616527,HIGH
WL-003,WHEEL_LOADER,TRANSMISSION,2026-06-18,16456.3,655.7,MONITOR,0.3024274437240397,HIGH
WL-004,WHEEL_LOADER,TRANSMISSION,2026-05-09,18577.4,671.3,MONITOR,0.18948064724487454,HIGH
WL-014,WHEEL_LOADER,ENGINE,2026-05-20,12576.5,34.2,MONITOR,0.10019963071175574,HIGH
WL-001,WHEEL_LOADER,HYDRAULIC,2026-05-28,16406.0,12.1,MONITOR,0.09946504023404158,HIGH
EX-005,EXCAVATOR,ENGINE,2026-06-19,12818.8,14.6,NORMAL,0.09785514682568358,HIGH
EX-014,EXCAVATOR,ENGINE,2026-06-06,16749.9,45.3,NORMAL,0.0937422153463686,HIGH
EX-015,EXCAVATOR,ENGINE,2026-05-24,13145.1,15.4,NORMAL,0.05556626264611899,WATCH
EX-007,EXCAVATOR,TRANSMISSION,2026-06-22,14542.2,17.1,NORMAL,0.05497578521892281,WATCH
WL-012,WHEEL_LOADER,TRANSMISSION,2026-04-18,13031.3,503.1,NORMAL,0.04770283417994908,WATCH
EX-018,EXCAVATOR,TRANSMISSION,2026-06-11,21618.3,50.8,NORMAL,0.04285935153597557,WATCH
HT-002,HAUL_TRUCK,TRANSMISSION,2026-05-27,12317.5,36.2,NORMAL,0.03827791448767047,WATCH
WL-004,WHEEL_LOADER,FINAL_DRIVE,2026-05-06,18568.8,14.9,NORMAL,0.03826883103297003,WATCH
EX-006,EXCAVATOR,ENGINE,2026-05-30,11892.2,46.4,NORMAL,0.0334771168244817,WATCH
HT-005,HAUL_TRUCK,TRANSMISSION,2026-06-25,17492.2,518.2,NORMAL,0.02870584632965649,LOW
WL-010,WHEEL_LOADER,TRANSMISSION,2026-06-26,16278.8,12.1,NORMAL,0.026247915493136122,LOW
EX-006,EXCAVATOR,TRANSMISSION,2026-05-07,11792.8,576.4,NORMAL,0.019232094303320364,LOW
HT-009,HAUL_TRUCK,FINAL_DRIVE,2026-04-27,13560.7,6.4,NORMAL,0.019193601561565868,LOW
EX-008,EXCAVATOR,ENGINE,2026-06-20,11844.9,320.5,NORMAL,0.018268720302825163,LOW
HT-012,HAUL_TRUCK,TRANSMISSION,2026-06-04,18409.4,13.0,NORMAL,0.01703859301514888,LOW
EX-020,EXCAVATOR,TRANSMISSION,2026-05-10,9736.2,54.5,NORMAL,0.01614071699625997,LOW
HT-011,HAUL_TRUCK,HYDRAULIC,2026-06-16,19941.5,1100.5,NORMAL,0.015498656972194016,LOW
EX-008,EXCAVATOR,HYDRAULIC,2026-06-15,11908.7,15.1,NORMAL,0.015110078292272946,LOW
HT-003,HAUL_TRUCK,TRANSMISSION,2026-05-31,16465.1,648.6,NORMAL,0.014571510015448605,LOW
EX-009,EXCAVATOR,ENGINE,2026-06-25,18579.2,23.8,NORMAL,0.014032827225741623,LOW
HT-008,HAUL_TRUCK,FINAL_DRIVE,2026-05-03,18055.4,55.7,NORMAL,0.012796314590857453,LOW
EX-020,EXCAVATOR,ENGINE,2026-06-07,9843.6,247.2,NORMAL,0.012750492952091606,LOW
EX-010,EXCAVATOR,FINAL_DRIVE,2026-05-13,17970.2,15.1,NORMAL,0.012116492738036895,LOW
EX-017,EXCAVATOR,TRANSMISSION,2026-06-05,13220.1,42.5,NORMAL,0.011398932853346016,LOW
WL-015,WHEEL_LOADER,TRANSMISSION,2026-05-12,13471.3,30.3,NORMAL,0.00904003464717656,LOW
EX-012,EXCAVATOR,TRANSMISSION,2026-06-12,16744.4,470.5,NORMAL,0.00885005291659092,LOW
WL-009,WHEEL_LOADER,ENGINE,2026-06-12,11528.2,294.6,NORMAL,0.008846609686285648,LOW
HT-015,HAUL_TRUCK,ENGINE,2026-06-28,11039.2,59.1,NORMAL,0.008297479397657775,LOW
WL-009,WHEEL_LOADER,TRANSMISSION,2026-05-01,11148.3,638.2,NORMAL,0.008231219119834494,LOW
EX-013,EXCAVATOR,TRANSMISSION,2026-04-12,11256.7,616.0,NORMAL,0.007985881453344442,LOW
EX-015,EXCAVATOR,HYDRAULIC,2026-04-07,12825.4,33.7,NORMAL,0.007042005186273023,LOW
EX-004,EXCAVATOR,ENGINE,2026-06-22,11638.7,37.2,NORMAL,0.006813846976084151,LOW
EX-010,EXCAVATOR,TRANSMISSION,2026-05-27,18156.9,42.0,NORMAL,0.0064598155191829655,LOW
