sample_id,machine_id,machine_type,model,component,sample_date,smu_hours,oil_hours,oil_changed,fe_ppm,cu_ppm,cr_ppm,pb_ppm,al_ppm,si_ppm,na_ppm,k_ppm,water_pct,fuel_pct,glycol_pct,soot_pct,visc40,oxidation,nitration,tbn,pq_index,lab_severity
S00000001,EX-001,EXCAVATOR,336,ENGINE,2023-01-29,4991.3,56.9,N,13.1,4.5,1.23,2.8,3.7,5.1,2.5,2.2,0.017,0.42,0.0,0.2,103.9,9.7,5.9,9.49,4.5,NORMAL
S00000002,EX-001,EXCAVATOR,336,ENGINE,2023-02-18,5174.2,239.7,N,17.8,7.9,1.89,3.5,5.2,8.8,3.7,3.2,0.014,0.49,0.0,0.44,107.4,11.6,8.5,8.87,9.3,NORMAL
S00000003,EX-001,EXCAVATOR,336,ENGINE,2023-03-13,5386.5,452.0,N,18.6,9.7,2.97,4.8,8.5,12.4,6.0,4.4,0.019,0.76,0.0,0.5,104.4,16.8,11.2,6.8,12.7,NORMAL
S00000004,EX-001,EXCAVATOR,336,ENGINE,2023-04-07,5616.7,7.6,N,11.2,3.9,1.22,2.1,3.4,5.0,2.2,1.9,0.015,0.87,0.0,0.22,112.8,7.5,6.1,10.24,5.5,NORMAL
S00000005,EX-001,EXCAVATOR,336,ENGINE,2023-04-29,5809.9,200.9,N,18.0,7.9,1.41,3.5,3.7,7.6,4.6,3.8,0.022,0.6,0.0,0.41,106.4,12.4,8.8,8.4,5.5,NORMAL
S00000006,EX-001,EXCAVATOR,336,ENGINE,2023-05-25,6050.8,441.7,N,21.5,10.0,2.83,5.3,6.5,8.8,5.0,4.9,0.017,0.39,0.0,0.78,104.1,17.5,11.0,6.79,10.4,NORMAL
S00000007,EX-001,EXCAVATOR,336,ENGINE,2023-06-28,6360.3,36.7,N,9.7,4.1,1.16,2.5,3.7,4.9,2.9,1.7,0.024,0.89,0.0,0.22,102.2,8.0,6.4,10.34,5.2,NORMAL
S00000008,EX-001,EXCAVATOR,336,ENGINE,2023-07-30,6646.9,323.2,N,24.0,7.8,2.02,4.0,5.2,7.6,4.1,3.3,0.024,0.49,0.0,0.52,107.1,11.7,9.2,8.15,9.4,NORMAL
S00000009,EX-001,EXCAVATOR,336,ENGINE,2023-08-23,6864.3,14.4,N,9.1,4.3,1.24,2.5,3.1,4.8,2.4,1.4,0.022,0.66,0.0,0.23,106.0,8.7,5.5,10.65,4.5,NORMAL
S00000010,EX-001,EXCAVATOR,336,ENGINE,2023-09-20,7118.5,268.6,N,17.3,7.0,1.91,4.4,5.2,9.1,3.3,3.6,0.015,0.47,0.0,0.47,106.0,12.7,8.2,7.94,7.3,NORMAL
S00000011,EX-001,EXCAVATOR,336,ENGINE,2023-10-24,7427.5,52.9,N,15.5,3.5,1.39,2.8,2.6,5.4,3.0,2.1,0.015,0.76,0.0,0.25,110.6,9.4,6.4,10.24,5.4,NORMAL
S00000012,EX-001,EXCAVATOR,336,ENGINE,2023-11-18,7654.8,280.1,N,15.9,7.8,2.76,4.9,4.9,9.4,3.9,3.1,0.013,0.45,0.0,0.43,101.7,13.3,8.0,7.49,8.6,NORMAL
S00000013,EX-001,EXCAVATOR,336,ENGINE,2023-12-20,7941.9,21.7,N,7.8,4.2,1.27,2.2,3.1,5.2,2.1,1.4,0.025,0.8,0.0,0.27,107.4,8.5,6.3,9.96,4.5,NORMAL
S00000014,EX-001,EXCAVATOR,336,ENGINE,2024-01-20,8224.0,303.8,N,23.3,7.2,2.47,6.1,6.2,7.9,4.8,4.0,0.014,0.87,0.0,0.52,106.5,15.2,8.1,7.88,9.3,NORMAL
S00000015,EX-001,EXCAVATOR,336,ENGINE,2024-02-18,8489.7,29.2,N,9.7,4.4,1.33,2.5,3.0,5.2,2.3,2.2,0.022,0.55,0.0,0.21,108.8,9.3,5.4,10.89,4.9,NORMAL
S00000016,EX-001,EXCAVATOR,336,ENGINE,2024-03-19,8755.0,294.6,N,18.0,7.9,1.94,4.5,4.2,10.7,4.0,2.5,0.014,0.66,0.0,0.51,107.0,13.5,8.1,9.41,8.3,NORMAL
S00000017,EX-001,EXCAVATOR,336,ENGINE,2024-04-14,8991.1,1.6,N,9.9,5.0,0.99,2.3,4.4,3.9,1.9,1.6,0.029,0.26,0.0,0.21,110.3,8.5,5.3,11.7,4.4,NORMAL
S00000018,EX-001,EXCAVATOR,336,ENGINE,2024-05-10,9234.7,245.2,N,15.5,7.7,1.93,5.4,5.8,9.1,4.1,3.0,0.02,0.47,0.0,0.5,111.5,13.1,8.1,8.44,8.4,NORMAL
S00000019,EX-001,EXCAVATOR,336,ENGINE,2024-06-04,9459.2,469.8,N,22.7,6.2,3.28,6.1,6.7,13.2,6.0,4.4,0.014,0.31,0.0,0.79,107.4,17.0,12.3,7.01,7.5,NORMAL
S00000020,EX-001,EXCAVATOR,336,ENGINE,2024-07-05,9734.9,22.8,N,8.4,4.4,1.1,2.5,3.2,4.6,2.5,1.8,0.027,0.68,0.0,0.27,109.4,8.4,5.6,10.11,5.3,NORMAL
S00000021,EX-001,EXCAVATOR,336,ENGINE,2024-07-29,9959.5,247.4,N,15.9,7.1,2.07,4.4,4.1,7.2,3.9,3.9,0.032,0.67,0.0,0.41,109.2,12.0,8.7,8.5,5.5,NORMAL
S00000022,EX-001,EXCAVATOR,336,ENGINE,2024-08-28,10229.0,48.0,N,10.1,4.4,1.23,2.9,3.2,4.7,3.2,2.2,0.021,0.38,0.0,0.24,109.6,9.1,5.9,10.43,6.2,NORMAL
S00000023,EX-001,EXCAVATOR,336,ENGINE,2024-09-24,10477.2,296.3,N,15.5,7.8,1.79,3.5,5.5,8.6,3.3,3.7,0.013,0.89,0.0,0.46,104.0,15.3,8.4,7.88,12.2,NORMAL
S00000024,EX-001,EXCAVATOR,336,ENGINE,2024-10-24,10749.4,26.9,N,12.5,3.2,1.12,2.5,3.5,5.9,2.2,1.6,0.019,0.71,0.0,0.27,107.0,8.6,6.4,10.27,5.1,NORMAL
S00000025,EX-001,EXCAVATOR,336,ENGINE,2024-11-12,10914.5,192.0,N,16.1,5.3,2.63,4.0,4.6,6.9,2.4,3.0,0.03,0.64,0.0,0.31,106.0,12.3,8.2,9.21,9.3,NORMAL
S00000026,EX-001,EXCAVATOR,336,ENGINE,2024-12-09,11161.6,439.1,N,27.4,7.3,2.72,6.3,5.5,12.6,5.0,2.9,0.022,0.5,0.0,0.7,105.4,16.2,9.5,6.54,10.5,NORMAL
S00000027,EX-001,EXCAVATOR,336,ENGINE,2025-01-04,11397.1,34.9,N,13.3,4.8,1.16,2.5,2.6,4.2,2.1,1.9,0.018,0.58,0.0,0.24,106.0,9.5,6.4,10.59,5.1,NORMAL
S00000028,EX-001,EXCAVATOR,336,ENGINE,2025-02-03,11668.4,306.2,N,19.7,8.8,1.8,5.5,4.9,8.6,3.5,3.6,0.015,0.84,0.0,0.45,110.9,14.4,7.9,7.69,10.8,NORMAL
