wo_id,machine_id,component,wo_type,failure_code,description,open_date,close_date,smu_at_wo,downtime_hours,parts_cost,labour_cost
WO0000001,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-01-29,2023-01-30,4991.3,4.5,426.74,253.42
WO0000031,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-03-01,2023-03-02,5227.0,4.8,791.21,128.05
WO0000002,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-04-07,2023-04-08,5616.7,5.0,296.74,118.58
WO0000043,EX-001,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-04-10,2023-04-11,5560.0,4.6,453.4,351.39
WO0000003,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-06-28,2023-06-29,6360.3,2.9,178.98,134.57
WO0000023,EX-001,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-07-04,2023-07-05,6376.2,4.8,811.73,343.79
WO0000032,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-07-14,2023-07-15,6456.1,3.0,174.45,380.74
WO0000004,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-08-23,2023-08-24,6864.3,4.5,417.94,320.41
WO0000049,EX-001,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-08-23,2023-08-25,,14.1,2443.46,943.92
WO0000024,EX-001,HYDRAULIC,CM,HYD-WTR,Water contamination,2023-09-14,2023-09-22,7192.3,59.3,36451.56,6655.5
WO0000005,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-10-24,2023-10-25,7427.5,2.4,806.78,211.38
WO0000033,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-11-10,2023-11-11,7530.7,2.3,623.58,264.69
WO0000044,EX-001,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-12-11,2023-12-12,7787.5,3.4,484.76,333.69
WO0000006,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-12-20,2023-12-21,7941.9,4.0,203.56,116.05
WO0000007,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-02-18,2024-02-19,8489.7,2.6,853.09,246.59
WO0000034,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-02-26,2024-02-27,8509.4,2.1,884.82,383.89
WO0000025,EX-001,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-03-30,2024-03-31,8824.6,5.0,783.9,136.72
WO0000026,EX-001,HYDRAULIC,CM,HYD-PMP,Hydraulic pump wear,2024-04-11,2024-04-22,9462.6,37.8,8091.07,3836.38
WO0000008,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-04-14,2024-04-15,8991.1,4.4,319.68,120.18
WO0000035,EX-001,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2024-05-03,2024-05-14,9381.0,27.9,32434.58,2705.59
WO0000009,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-07-05,2024-07-06,9734.9,2.4,441.8,107.57
WO0000036,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-07-09,2024-07-10,9729.8,3.4,298.38,276.36
WO0000045,EX-001,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-08-24,2024-08-25,10116.2,3.7,159.73,230.56
WO0000010,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-08-28,2024-08-29,10229.0,2.4,488.33,254.87
WO0000011,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-10-24,2024-10-25,10749.4,4.5,321.42,106.41
WO0000037,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-11-01,2024-11-02,10770.1,2.7,876.21,332.51
WO0000027,EX-001,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-11-18,2024-11-19,10940.3,3.0,779.49,338.44
WO0000012,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-01-04,2025-01-05,11397.1,5.1,826.66,199.56
WO0000013,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-03-03,2025-03-04,11926.7,3.2,230.31,204.69
WO0000038,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-03-03,2025-03-04,11877.2,4.5,496.5,354.34
WO0000014,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-04-25,2025-04-26,12401.9,5.2,498.04,102.08
WO0000046,EX-001,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-05-21,2025-05-22,12564.6,2.7,366.03,383.09
WO0000050,EX-001,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2025-05-22,2025-05-24,,6.6,2964.75,761.07
WO0000048,EX-001,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2025-05-29,2025-05-31,,4.4,1944.34,122.81
WO0000015,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-06-20,2025-06-21,12914.8,2.3,340.91,305.73
WO0000039,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-07-11,2025-07-12,13058.9,4.5,758.31,159.48
WO0000028,EX-001,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-08-04,2025-08-05,13288.5,4.4,858.9,179.62
WO0000016,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-08-11,2025-08-12,13387.2,3.4,412.12,313.33
WO0000017,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-11-03,2025-11-04,14144.8,4.2,314.07,212.64
WO0000029,EX-001,HYDRAULIC,CM,HYD-WTR,Water contamination,2025-12-09,2025-12-21,14867.5,90.9,36864.81,1260.08
WO0000040,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-12-23,2025-12-24,14555.3,4.7,559.26,260.79
WO0000018,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-12-27,2025-12-28,14631.6,5.0,324.96,186.16
WO0000047,EX-001,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2026-02-15,2026-02-16,15013.1,4.3,717.81,203.76
WO0000019,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-02-24,2026-02-25,15170.8,2.3,322.05,234.36
WO0000051,EX-001,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2026-03-07,2026-03-09,,18.9,792.15,1166.79
WO0000041,EX-001,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-04-15,2026-04-16,15580.1,3.7,762.8,117.61
WO0000021,EX-001,ENGINE,CM,ENG-BRG,Main bearing wear,2026-04-19,2026-04-23,15736.8,66.3,12273.58,3903.61
WO0000030,EX-001,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2026-04-25,2026-04-26,15683.7,3.0,379.0,140.57
WO0000020,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-04-27,2026-04-28,15736.8,4.2,154.58,359.21
WO0000042,EX-001,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2026-05-05,2026-05-11,16146.9,26.2,2541.01,8965.03
WO0000022,EX-001,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-06-22,2026-06-23,16242.4,6.0,185.38,197.39
WO0000084,EX-002,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-02-11,2023-02-13,,9.2,477.8,215.3
WO0000085,EX-002,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-03-09,2023-03-11,,15.8,1425.56,703.94
WO0000065,EX-002,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-04-10,2023-04-11,6411.1,2.9,184.3,288.65
WO0000076,EX-002,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-04-19,2023-04-20,6411.1,4.2,254.77,349.84
WO0000052,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-04-23,2023-04-24,6519.5,3.3,821.39,243.24
WO0000071,EX-002,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-07-15,2023-07-16,6904.7,2.8,281.77,154.85
WO0000053,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-07-27,2023-07-28,7044.1,3.8,233.63,270.68
WO0000077,EX-002,FINAL_DRIVE,CM,FDR-SEAL,Duo-cone seal leak,2023-08-22,2023-09-01,7398.3,43.6,26266.71,4659.02
